model,model_label,family,aggregator,time_window,split,calibrated,auroc,auprc,recall@95spec
gaussian_mil,gaussian:mil,gaussian,mil,72h,valid,False,0.7783204913139343,0.3722536265850067,0.32170542635658916
gaussian_mil,gaussian:mil,gaussian,mil,allh,valid,False,0.7780264019966125,0.373997300863266,0.31912144702842377
mlp_w2,mlp:w2,mlp,w2,allh,valid,False,0.758908212184906,0.3530932068824768,0.26098191214470284
mlp_mean,mlp:mean,mlp,mean,allh,valid,False,0.7578728795051575,0.3464142382144928,0.2713178294573643
mlp_w2,mlp:w2,mlp,w2,72h,valid,False,0.7550022602081299,0.3468397259712219,0.2842377260981912
mlp_w2,mlp:w2,mlp,w2,24h,valid,False,0.747711181640625,0.36093956232070923,0.29844961240310075
mlp_mc_mean,mlp:mc_mean,mlp,mc_mean,allh,valid,False,0.7439660429954529,0.31965136528015137,0.2248062015503876
mlp_mean,mlp:mean,mlp,mean,72h,valid,False,0.7429274320602417,0.3344942629337311,0.268733850129199
mlp_mc_mean,mlp:mc_mean,mlp,mc_mean,24h,valid,False,0.742321252822876,0.32637012004852295,0.25064599483204136
mlp_mean,mlp:mean,mlp,mean,24h,valid,False,0.7418736219406128,0.35309508442878723,0.27002583979328165
mlp_mc_mean,mlp:mc_mean,mlp,mc_mean,72h,valid,False,0.7332119941711426,0.3083670139312744,0.2351421188630491
logistic_gaussian_poe,logistic:gaussian_poe,logistic,gaussian_poe,allh,valid,False,0.7253626585006714,0.3073060214519501,0.24289405684754523
logistic_gaussian_poe,logistic:gaussian_poe,logistic,gaussian_poe,72h,valid,False,0.7251725196838379,0.30734652280807495,0.2441860465116279
logistic_gaussian_poe,logistic:gaussian_poe,logistic,gaussian_poe,24h,valid,False,0.7244071960449219,0.32059717178344727,0.25839793281653745
linear_last_mu_logvar,linear:last_mu_logvar,linear,last_mu_logvar,72h,valid,False,0.6305568218231201,0.2254856377840042,0.1524547803617571
linear_last_mu,linear:last_mu,linear,last_mu,72h,valid,False,0.6249634027481079,0.219053253531456,0.14728682170542637
linear_last_mu_logvar,linear:last_mu_logvar,linear,last_mu_logvar,allh,valid,False,0.6225130558013916,0.2204204946756363,0.1511627906976744
linear_last_mu,linear:last_mu,linear,last_mu,allh,valid,False,0.6154384613037109,0.22040417790412903,0.14857881136950904
gaussian_mil,gaussian:mil,gaussian,mil,24h,valid,False,0.592674732208252,0.16929247975349426,0.12661498708010335
linear_last_mu_logvar,linear:last_mu_logvar,linear,last_mu_logvar,24h,valid,False,0.5492463111877441,0.15758530795574188,0.10723514211886305
linear_last_mu,linear:last_mu,linear,last_mu,24h,valid,False,0.5465500354766846,0.15218614041805267,0.10981912144702842
mlp_poe,mlp:poe,mlp,poe,72h,valid,False,0.5059064626693726,0.11676125228404999,0.0012919896640826874
mlp_poe,mlp:poe,mlp,poe,allh,valid,False,0.5043807029724121,0.1148405447602272,0.021963824289405683
mlp_poe,mlp:poe,mlp,poe,24h,valid,False,0.49718040227890015,0.1154746487736702,0.003875968992248062
